keywords,sentence,topic
"collectivism: opposing, greater, collectivism, give",opposing collectivism would give greater rights to the indivudual.,collectivism
"collectivism: cogs, identical, bunch, treats",people aren't all the same and collectivism treats them as just a bunch of identical cogs in a machine.,collectivism
"collectivism: join, via, wants, force",people have their right to their own individual needs and wants and should not be force to join their lives via government policy.,collectivism
"collectivism: appreciated, gifts, individual",people need to be appreciated for their individual gifts and talents.,collectivism
"collectivism: looked, treated, need",people need to be looked at and treated as individuals.,collectivism
"collectivism: reap, work, lazy, ones",people should be able to work hard and reap the benefits of their labor. with collectivism you will always have some people doing most of the work and the lazy ones will benefit from it.,collectivism
"collectivism: belong, viewed, supposed",people should have the right to live and think the way they want to in the world.   they shouldn't be viewed as if they are supposed to belong in one group.   that leads to dictatorship.,collectivism
"collectivism: individual, stunts, oppose",people should oppose collectivism because it doesn't allow for individual freedom of choice and stunts individual growth.,collectivism
"collectivism: working, stronger, goal, common",people should support collectivism because people working together for a common goal is much stronger than an individual person working alone.,collectivism
"collectivism: unselfish, worry",putting the needs and benefits of the group over the individual is a good concept that we all could learn from.  if only everyone was so unselfish to worry about others first we'd be in much better shape.,collectivism
"collectivism: operate, societies, achieve, collectivism",societies that operate under collectivism can achieve more,collectivism
"collectivism: supporting, groups, helps, person, one",supporting groups helps more than one person at a time.,collectivism
"collectivism: together, things, better, work","the more people work together as a team, the better things will be",collectivism
"collectivism: collectivist, toward, societies, common, conflict, working",There is less conflict in collectivist societies because people are working toward a common goal.,collectivism
"collectivism: thoughts, practice, individual, allow",this practice does not allow an individual their own thoughts and actions.,collectivism
"collectivism: unit, treating, helpful, large, group, different",treating everyone as a large group unit is not helpful for people who have different individual needs.,collectivism
"collectivism: thinking, team, accept, trouble",we accept collectivism because it leads to less conflict due to people thinking as a team instead of one person thinking about themselves and causing trouble,collectivism
"collectivism: gang, contest, causes, collectivism",we need to contest collectivism because it causes gang mentality.,collectivism
"collectivism: thoughts, supporting, ought, ideas, individual",we ought to be supporting individual thoughts and ideas,collectivism
"collectivism: along, thoughts, definitely, autonomy, oppose, terms",we should definitely oppose collectivism because there is less autonomy in terms of thoughts and ideas. everyone will just go along with the group.,collectivism
"collectivism: group, also","we should make decisions based on what is good for the group .  if the group thrives, then everyone in the group also benefits.  also it encourages compassion which our society currently is lacking.",collectivism
"collectivism: stronger, united, voice, single, oppose, collectivism",we should not  oppose collectivism because a united voice is much stronger than a single opinion.,collectivism
"collectivism: oppose, rather, collectivism, helps, many",we should not oppose collectivism as it helps the many rather than the few.,collectivism
"collectivism: aimed, masses, oppose, benefits, certain, collectivism",We should not oppose collectivism as it is important that benefits in society should be more aimed at the masses than certain individuals.,collectivism
"collectivism: oppose, usually, group, together, collectivism, individual",we should not oppose collectivism because a group is usually better together than an individual,collectivism
"collectivism: oppose, collectivism, everyone, work",we should not oppose collectivism because everyone should work together.,collectivism
"collectivism: belong, choosing, oppose, groups, collectivism, helps",we should not oppose collectivism because it helps people to belong in groups of their choosing,collectivism
"collectivism: needy, oppose, collectivism, poor",we should not oppose collectivism because it would help the needy and poor and in our society.,collectivism
"collectivism: actions, hiding, responsibility, oppose, behind",we should oppose collectivism as it can lead to people hiding behind the actions of the group rather than taking responsibility for their own actions.,collectivism
"collectivism: mentality, achieve, oppose, forces, group, order",We should oppose collectivism as it forces people to be part of group mentality in order to achieve anything.,collectivism
"collectivism: preferential, oppose, group, treatment, collectivism",we should oppose collectivism as no one group should have preferential treatment over another.,collectivism
"collectivism: rights, oppose, protected, collectivism, individual",We should oppose collectivism as the rights of the individual should be protected as much as a group's rights.,collectivism
"collectivism: prosperity, individualism, throughout, ownership, led, oppose",We should oppose collectivism because a system of individualism and property ownership has led to prosperity throughout much of the world.,collectivism
"collectivism: led, standards, oppose, past, lower, living",We should oppose collectivism because in the past it has led to lower living standards for all than individualism.,collectivism
"collectivism: recognised, oppose, hard, going",we should oppose collectivism because individuals may not work as hard if they are not going to be recognised individually.,collectivism
"collectivism: heavy, oppose",we should oppose collectivism because it causes a lop-sided government being on the heavy end.,collectivism
"collectivism: incompatible, framework, oppose, collectivism, legal, individual",We should oppose collectivism because it is incompatible with a legal framework of individual rights.,collectivism
"collectivism: lessens, creativity, oppose, collectivism",we should oppose collectivism because it lessens creativity and individuality.,collectivism
"collectivism: favoritism, oppose, shows, groups, collectivism",we should oppose collectivism because it shows favoritism to some groups and individuals.,collectivism
"collectivism: stops, oppose, individuals, collectivism, able",we should oppose collectivism because it stops people from being able to be themselves as individuals,collectivism
"collectivism: end, treats, moral, oppose, denying","We should oppose collectivism because it treats individuals as means to an end rather than as an end to themselves, denying them their moral worth.",collectivism
"collectivism: collectism, hierarchies, special, oppose",we should oppose collectivism because people deserve to be treated as individuals. collectism allows hierarchies to look out for their own  special interests.,collectivism
"collectivism: individualism, adapt, goals, oppose, think",we should oppose collectivism because people simply cannot think for themselves there will be no more individualism because people are force to adapt the same ideas and goals,collectivism
"collectivism: individuals, oppose, small",we should oppose collectivism because we are all individuals and no one person or small group should be making every important decision for all of us. we should be able to do what we want to as individuals.,collectivism
"collectivism: elite, behalf, oppose, avoid, greater, order","We should oppose collectivism in order to avoid greater elite control on behalf of ""the public"".",collectivism
"collectivism: oppose, choice, individual, able",we should oppose it because people should be able to be an individual and have a choice,collectivism
"collectivism: ignore, individualism, moral, worth, unethical, encourages",We should support collectivism because individualism is unethical and encourages people to ignore the moral worth of others.,collectivism
"collectivism: eases, responsibility, burden, encourages","We should support collectivism because it encourages people to take responsibility for their community, which eases the burden on the state.",collectivism
"collectivism: common, find, support, collectivism, helps",we should support collectivism because it helps people find common goals.,collectivism
"collectivism: investment, growth, community, leads, support, collectivism",We should support collectivism because it leads to more investment in the community and more growth in the long term.,collectivism
"collectivism: antisocial, promotes, greater, support, collectivism, individual",We should support collectivism because it promotes the greater good over antisocial individual behavior.,collectivism
"collectivism: support, joint",we should support collectivism.   if people come together with the same beliefs the joint force has a greater ability to support their ideas to the public.,collectivism
"collectivism: creates, cohesiveness, removing, conflicts, oppose",we shouldn't oppose collectivism because it creates cohesiveness in society. it creates less conflicts and brings us all together by removing barriers.,collectivism
"collectivism: oppose, specific, look, whole, benefit, sometimes",we shouldn't oppose collectivism because sometimes you have to look out  for what is best for society as a whole and not how it would benefit a specific individual.,collectivism
"collectivism: harmony, oppose, increasing, creating, useful",we shouldn't oppose collectivism. it can be useful for increasing harmony in society and creating less conflicts.,collectivism
"collectivism: ensure, protecting, looking","without looking out for and protecting the greater good, society would fail. the only way to ensure the rights of everyone is to ensure the entire group is protected.",collectivism
"collectivism: necessity, collective, modern, every, good",work for the collective good is a necessity of every modern society,collectivism
"collectivism: working, always, together, better",working together is always better than alone.,collectivism
"loans: degrees, decent, guarantee",a college degree is no longer a guarantee that you will have a job nor is it even required for decent careers anymore. it is a waste of money as most degrees are becoming obsolete.,loans
"loans: helping, requirement","a college education is too expensive for most people to afford.  yet, it is almost a requirement to get a great job.  by helping to pay student loans we are also helping our economy and providing better jobs.",loans
"loans: attending, majority, unable, college, cost, high",a majority of students are unable to pay for the high cost of attending college,loans
"loans: closer, rich","All young people whether rich or poor should have the opportunity to better their lives by going to into higher education, the more student loans are subsidized the closer this will become a reality.",loans
"loans: population, taxation, enhanced","an educated population is a productive population, and it ultimately makes financial sense for a government to support learning activities in return for enhanced taxation revenue down the line.",loans
"loans: nowadays, student, subsidizing, go",an education is very important nowadays and subsidizing student loans will help many students go to school,loans
"loans: astronomical, concentrate, studies, reduce, debt, student","because it could help reduce astronomical debt student loans cause, they can just concentrate on studies",loans
"loans: realizing, achieve, harder","by realizing they will need to pay off their student loans, the students will work harder to achieve their goals.",loans
"loans: consider, subsidising, governments, low, income, encourage",by subsidising student loans governments can encourage those on a low income to consider university.,loans
"loans: stressors, continuing, remove, student, subsidizing",by subsidizing student loans we can remove one of the stressors from continuing education.,loans
"loans: incentives, student, subsidizing, away, take, students",by subsidizing student loans we take away the incentives to do better on the students own.,loans
"loans: getting, year, college, expensive",college is getting more and more expensive each year so students should be getting as much help as they need,loans
"loans: bills, buying","college is not affordable anymore.  an education can cost more than a home.  paying money to some student loan bills allow graduates to prosper, buying homes and cars and supporting the economy.",loans
"loans: subsizing, typically","education is expensive, and subsizing student loans encourages an academic career path, creating individuals who typically go on to contribute more to the economy via higher paid jobs.",loans
"loans: accessible, ensure, subsidize, education","education is so expensive, we should subsidize it to ensure it is accessible for all.",loans
"loans: available, economic, education",Education should be available to people of all economic backgrounds.,loans
"loans: worry, deserves, costs, higher, chance",everyone deserves a chance at a higher education without much worry on costs,loans
"loans: deserves, chance, afford, even, everyone, education",everyone deserves a chance of a good education even if they can not afford the schooling.,loans
"loans: finish, ultimately, educated, everything",everything should be done to encourage people to finish college. this ultimately leads to a better educated population and benefits society as a whole,loans
"loans: mess, excuse, definitely","Far too many students are using higher education as an excuse to mess around for a few years rather than taking it seriously, we definitely should not be subsidizing loans to make it any easier for them.",loans
"loans: money, flowing, federal, borrow",federal money flowing into this area allows more students to borrow more money to go to schools they might not otherwise attend.,loans
"loans: college, attending","going to college is a benefit for the person attending and they should bear the full cost. the government should not spend it resources to  help kids go to college, there are many other more important needs.",loans
"loans: lifetime, repay, plenty, graduates, earn","graduates earn more over a lifetime than their peers, this gives them plenty of opportunity to repay their debts.",loans
"loans: graduates, massive, start, career, debt, pay",graduates should not have to start their career with a massive debt to pay off,loans
"loans: educated, workforce, well, country, good",have a well educated workforce is good for the country,loans
"loans: funneling, finding, higher, useful, longer, stop","higher education is no longer that useful in finding a job, we need to stop funneling money into it.",loans
"loans: inherent, taxpayers, burden, wants","higher education is not an inherent right. if someone wants to go to college, they should pay for it. the burden shouldn't simply be put on taxpayers instead.",loans
"loans: memebers, education, productive, paying",Higher education leads to individuals becoming productive tax paying memebers of society so government should help people pay for this education,loans
"loans: education, higher, access, learn, subsidized, student",higher education should be a right; subsidized student loans provides all who want to learn with access to an education,loans
"loans: pays, graduate, student, education, work",if a student pays for his education he will work to graduate,loans
"loans: paying, burden, always, job, afford, high",if people can't afford a high education then the burden of paying for them to have this shouldn't be put on other people by subsidizing. the can always get a job doing other things.,loans
"loans: studies, serious, subsidized, pay, take",if these loans were subsidized some of the students wouldn't take their studies as serious as those that have to pay out of pocket.,loans
"loans: college, go, trade, poor, helps, able",it helps the poor be able to go to college or trade school,loans
"loans: degree, obtain, paying, difficult, job","It is difficult to get a job without a degree these days, so students need help paying to obtain one.",loans
"loans: days, difficult, given, job, kids, student","It is so difficult to get a job these days without a degree, so kids should be given help with their student loans.",loans
"loans: payer, obligation, tax","it isn't the obligation of any tax payer to give money to help someone else get an education.  that is a personal choice, and if they want to go to college they need to pay for it on their own.",loans
"loans: student, reluctant, backgrounds","It's bad enough having to take out a student loan in the first place, but even more students from poorer backgrounds will be reluctant to go into higher education if their student loans aren't subsidized.",loans
"loans: uk, paying, current, costs, system",its costs the uk more money under the current system where most people aren't paying off their loans,loans
"loans: thanks, earning, back, subsidized, pay","loans should not need to be subsidized as the students can pay them back when they are earning enough, which will be thanks to their education.",loans
"loans: graduate, debts, massive, afford, go","most people can't afford to go to college, and we don't want them to graduate with massive debts",loans
"loans: pay, completed, education, person, begin",Once a person has completed education it will enable them to get a job and begin to pay off their loans.  It must be the responsibility of the person getting the education to pay for it - not everyone else.,loans
"loans: earns, degree",once someone earns a college degree they will make a lot of money in their profession and will be financially secure enough to pay their loans back without the rest of us having to subsidize them,loans
"loans: choose, bills, borrow, taxed",people choose to go to college.  those that do should pay the bills for that schooling.  we should not be taxed to give money to those that choose to borrow it.,loans
"loans: dollars, thousands, back, pay, go",people should be able to go to school and better themselves without having to pay back thousands of dollars when they graduate.,loans
"loans: alleviate, paying, unable, spend, years",people spend years paying off student loans and many are unable to pay them off.  if they were subsidized it would help alleviate these problems.,loans
"loans: lift, paying, burden, providing",providing help in paying student loans will lift a financial burden off of students and allow them to become more indepedent.,loans
"loans: buried, thet, climb, get",right now students get buried under debt and can never climb out.  this deters many people from even trying to get a degree.  if we subsidize thet loans then maybe we can have a more educated society.,loans
"loans: pointless, basics",so many people are over qualified for the jobs they do that it is pointless to continue education further than the basics so we should not subsidize student loans as this encourages pointless study.,loans
"loans: massive, loan, debt, pay, students, get",some students get into massive loan debt that they can’t pay off and need help,loans
"loans: studen, courses, unaffordable, universities","studen loans cannot be subsidised as not only is it unaffordable in the current climate, it would encourage universities offer degree courses purely for financial gain.",loans
"loans: enormous, loan, pressure, working, debt, student","student loan debt is an enormous pressure on working people, and should be subsidized.",loans
"loans: college, forego, loan, leave, causing",student loan debt is causing many to leave college or forego college all together,loans
"loans: onerous, american, trying, loan",student loan debt is too onerous for poor families trying to live the american dream.,loans
"loans: college, contribution, enter",student loans allows those who can not afford college but with high potential to enter the college life to work towards great success and contribution to our society in the future.,loans
"loans: student, go, students, loans, school","student loans are a good deal for students, student loans allow for some students go to school that may have not been able to go to school before",loans
"loans: loans, vitally, younger","student loans are a vitally important means for a society to be able to provide education to its younger generations, so those loans should be subsidized as much as possible.",loans
"loans: find, repay",student loans are expensive and students might find themselves in debt if they cannot find a good job to repay them,loans
"loans: loans, paid, back, student","student loans are like any other loans and should be paid back by the borrower, not the government",loans
"loans: college, smarter",student loans are necessary for students to pay for college. the ability to go to college makes for a smarter and more capable work force that benefits all of society.,loans
"loans: gt, loans, degree",Student loans are necessary to be able to afford  the cost of college. Subsidizing the loans allows more people to  gt a degree and not have to leave to earn an income before they finish.,loans
"loans: discouraging, joining, entering, educated, college","student loans are predatory,  discouraging many from entering college and joining an educated workforce.",loans
"loans: offering, subsidy, alleviate, burden",student loans are such a burden on people that offering a subsidy would alleviate so many problems.  we should do this soon.,loans
"loans: drag, offering, hugely, hand, helping",student loans are such a drag on people and offering a helping hand on those would be hugely beneficial in the long run.,loans
"loans: expensive, debt, young, student, put, loans",student loans can be expensive and put young people in debt,loans
"loans: graduate, university, enable, student, continue, poor",student loans enable poor students to continue with their education and graduate from the university,loans
"loans: enrolling, university, lower, income, chance, student",student loans give students of lower income a chance at enrolling in a university,loans
"loans: robustly, predatory, educated, deter",student loans have been predatory for a long time and deter people from getting an education - we need to do our part and help reduce this burden so that we can have a more robustly educated society.,loans
"loans: hard, working, student, go, students, loans",student loans help hard working students go to college.,loans
"loans: resources, student, loans, help",student loans is a help for those who do not have resources,loans
"loans: owe, lets, study, let, think",student loans let young people get an education and subsidizing them lets them study and not think of the money they will owe,loans
"loans: furthering, burden, punished, huge, college",student loans place a huge burden on college graduates.  people should not be punished for furthering their education.,loans
"loans: student, insurmountable, saddle, constant, graduates, drain",Student loans saddle graduates with debt that is almost insurmountable nowadays. If they are not subsidized they will just be a constant drain on the student.,loans
"loans: set, valuable, citizens, state, student, support",student loans set children up to be valuable citizens and the state should support this,loans
"loans: boom, absolutely, spending",student loans should absolutely be subsidized because it would allow the economy to boom when young adults have spending money instead of debt,loans
"loans: portion, default, graduating, either, adult",student loans should be government subsidized because many students are graduating with debt that they will either default on or will burden them for a good portion of their adult lives.,loans
"loans: subsidised, student, go, students, loans, allow",student loans should be subsidised to allow more students to go further in education.,loans
"loans: graduation, start, young, student, subsidize",student loans should be subsidize to help young people start a better life after graduation,loans
"loans: sections, marginalized, poorer, access, subsidized, student",student loans should be subsidized as this allows those from marginalized or poorer sections of society to access good education,loans
"loans: saddle, heavy, chosen, graduates, starting, careers",student loans should be subsidized because it is unfair to saddle graduates with a heavy debt burden when they are starting out on their chosen careers,loans
"loans: paths, saddle, crippling, debts",student loans should be subsidized because it is unfair to saddle students with crippling amount of debts as they start out on their career paths,loans
"loans: drive, costs, subsidized, student, loans",Student loans should be subsidized because it would drive costs down for the students.,loans
"loans: five, figures, repay, come",student loans should be subsidized because many students come out of college with five figures in debt that they can't repay easily.,loans
"loans: dollars, adult, start, thousands, fair, subsidized","student loans should be subsidized because no human being should start their adult life off with thousands of dollars in debt, it's not fair",loans
"loans: trouble, case, offer, protection, financial, subsidized",student loans should be subsidized because they offer protection in case you have financial trouble,loans
"loans: mobile, socially, educated, enable",student loans should be subsidized for all to enable a more educated and socially mobile population and workforce.,loans
"loans: sacrifice, subsidized, student, loans, get",student loans should be subsidized so people don't have to sacrifice just to get an education.,loans
"loans: regardless, receive, higher, possible, financial, subsidized",Student loans should be subsidized so that as many people as possible can receive a higher education regardless of their financial background.,loans
"loans: receiving, children, backgrounds, poorer, equal, higher",student loans should be subsidized so that children from poorer backgrounds have an equal chance of receiving a higher education as better off children.,loans
"loans: advancement, contribute, subsidized, kids, student, go","student loans should be subsidized so that more kids can go to school, get a better education and contribute to the advancement of society.",loans
"loans: competent, force, subsidized, create, student, loans",student loans should be subsidized to create a competent work force,loans
"loans: bright, contributing, full",student loans should be subsidized to encourage students to go to college. otherwise bright kids may be put off and then not contributing to society with their full potential.,loans
"loans: encourage, learn, subsidized, young, student, loans",student loans should be subsidized to encourage young people to learn,loans
"loans: responsibility, ones, loan, benefit, student, makes",Student loans should be the responsibility of the person who makes the loan since they're the ones that benefit from the education,loans
"loans: debt, defaulting, graduating",student loans should not be subsidized because it is driving up the cost of college and because students are graduating with so much debt they are often defaulting on that debt.,loans
"loans: loans, colleges, charge, driving, college",student loans should not be subsidized because it is the loans themselves that have allowed colleges to charge more thus driving up the cost of a college education.,loans
"loans: borrowing, pursue, prove, helping, higher",student loans subsidized by the government will prove more effective in helping those in need of borrowing money to pursue higher education,loans
"loans: willing, years, student, pay, go",student loans take many years to pay off and if we don't subsidize there will be less students willing to go to college.,loans
"loans: support, backbone, students","Students are and will always be the backbone of the society. It's compulsory to support these growing students in becoming true, well educated citizens to support the economy.",loans
"loans: graduating, started, leave, difficult, huge, college",students are graduating with huge college loans that make it difficult for them to get started when they leave school.,loans
"loans: ought, educated, workforce, power, economy, future",students are the future and we ought to subsidize them to ensure we have a well educated workforce to power our economy,loans
"loans: crippling, burden, costs, college, debt, go",students need help with the burden of college costs and shouldn't have to go into crippling debt to get an education.,loans
"loans: students, education, able, worrying, pursue",students should be able to pursue higher education without worrying about being able to afford it. subsidizing students loans would make education more accessible.,loans
"loans: educations, acquired, qualifications, cant, contribute",students should be subsidized as a lot cant afford to pay for their educations and could contribute to society when they have acquired their qualifications,loans
"loans: expertise, knowledge, future, subsidized, students",students should be subsidized we need their knowledge and expertise for the future,loans
"loans: pay, education, regardless, tax, whether",students should pay for their own education; it isn’t fair that everyone has to pay for education through tax regardless of whether they use it.,loans
"loans: helps, subsiding, future, student",subsiding student loans not only helps students but helps the future of our country,loans
"loans: subsidised, university, thought, encourage",subsidised student loans would encourage everyone to go to university if they thought they wouldn't have any debt at the end of the studies.,loans
"loans: unaffordable, worthwhile, apply","subsidising is an unaffordable exercise as more and more students will want to apply and universities will take advantage of the potential extra income while not offering, necessarily, worthwhile courses.",loans
"loans: subsidising, benefits, student, means, loans, education",subsidising student loans means that more people can get an education which benefits society on the whole.,loans
"loans: opportunities, open, subsidising","subsidising would open up opportunities for students that would otherwise not exist, providing them with an education that will open up better employment opportunities.",loans
"loans: might, subsidized, go, students, loans, without",subsidized loans help students get an education and without them they might not be able to go to school,loans
"loans: obtain, might, subsidized, student, otherwise, students",subsidized student loans allow students to obtain an education that they might otherwise not have been able to,loans
"loans: trouble, case, run, offer, protection, financial",subsidized student loans also offer protection in case you run into financial trouble,loans
"loans: accrue, staggering, repay, graduates, decades",subsidized student loans cause graduates to accrue staggering debt which takes decades to repay,loans
"loans: debt, afford, subsidized, young, student, take",subsidized student loans lead young people to take on more debt than they can afford,loans
"loans: graduates, rate, college, lower, interest, result",subsidized student loans provide a lower interest rate and result in less debt for college graduates,loans
"loans: goal, financially, positive, encourages","Subsidizing student loans encourages an education and, thus, a long term goal of a positive economy and society when people are financially independent.",loans
"loans: classes, lets, student, subsidizing, jobs, pay",subsidizing student loans lets the students work in their classes not at jobs to pay for their education,loans
"loans: decrease, upon","subsidizing student loans who help decrease the cost of repayment, allowing for students to benefit from their education upon graduation.",loans
"loans: student, subsidizing, go","subsidizing student loans will allow more students to go to university, get a good job, and provide more to society.",loans
"loans: attend, enable, college, opportunity, student, subsidizing",subsidizing student loans will enable many more people the opportunity to attend college,loans
"loans: brightest, contribute, enable","subsidizing student loans will enable the best and brightest high school students to go to college, become successful, and contribute to society.",loans
"loans: afford, study, deserve, higher","subsidizing student loans will help  those who cannot afford higher education, those who deserve to study but are too poor to afford it",loans
"loans: introduce, productive, members, higher","subsidizing student loans will introduce more students to higher education, getting them better jobs so that they can become more productive members of society.",loans
"loans: add, america, last, massive, thing",subsidizing student loans will just add to our massive debt which is the last thing america needs at the moment.,loans
"loans: debt, student, subsidizing, put, loans, government",subsidizing student loans will put the government in more debt,loans
"loans: student, financially","subsidizing student loans would allow access to funds above the means of the student and the financial consequences in the future, including higher interest rates would be financially detrimental.",loans
"loans: previously, opportunity","subsidizing student loans would allow those who previously could not afford to go to university, the opportunity to better themselves with good qualifications.",loans
"loans: colleges, cut, would, beneficial, student, subsidizing",Subsidizing student loans would be beneficial not only for the colleges but the students and it would cut costs.,loans
"loans: banks, costly, funds, student, subsidizing","Subsidizing student loans would be costly to the banks and the government that funds them,",loans
"loans: pursue, higher, encourage, student, subsidizing, loans",subsidizing student loans would encourage more to pursue higher education.,loans
"loans: leaving, paying, lower, encourage",subsidizing student loans would encourage those with less money to stay on in education rather than leaving for lower paying jobs.,loans
"loans: college, afford, student, subsidizing, students, loans",subsidizing student loans would help more students to be able to afford college,loans
"loans: help, particularly, poorest, would, reduce",subsidizing student loans would particularly help the poorest in society and so would help reduce social inequality.,loans
"loans: lighten, graduation, entering, following",subsidizing students loans would help to lighten the debt of a student following graduation and entering the work force,loans
"loans: greater, froma, students","subsidizing students via the loans process enables a greater diversity of students froma greater range of economic and social backgrounds to pursue education, for long term national benefit.",loans
"loans: elses, tax, student, pay","tax payers, many of which have not been to school themselves, should not have to pay for any elses student loans.",loans
"loans: thats, tens, thousands, paid, loan",thats unfair to people who have already paid tens of thousands off in student loan debt.,loans
"loans: pay, expected, indefinitely, cant, schooling, taxes",the government and our taxes  helps pay for k-12 public education but cant be expected to pay for schooling indefinitely,loans
"loans: positively, educate, affect, economy, student, subsidizing",the government subsidizing student loans allows for the country to educate people which will positively affect the economy,loans
"loans: start, student, hanging","the last thing students need to start their careers with is a massive student loan, so subsidising student loans will enable them to start life without that debt hanging over them.",loans
"loans: add, national, control, debt, afford, cannot",the national debt is out of control and we cannot afford to add to it further.,loans
"loans: days, careers, price, massive, start","the price of a college education these days is crippling, so helping out students so they don't start out their careers in massive debt is something we all should encourage.",loans
"loans: someones, style, pay, choice, public, life",the public should not pay for someones life style choice,loans
"loans: careers, starting",the student debt crisis continues to rise and forces students into a horrible financial burden just as they are starting out their careers.  we should help them in the start of their careers by subsidizing.,loans
"loans: attainable, reasonable, borrow","the subsidizing of student loans allows students to borrow at a reasonable interest rate, which makes a college education more attainable",loans
"loans: payers, reform, university, subsidization, would, entire","the tax payers would have to pay for the subsidization of student loans in the end, it would be better to reform the entire university system instead.",loans
"loans: housing, ways, using, public, important","there are more important ways we should be using public money, such as housing and healthcare.",loans
"loans: futures, ruin, predatory, financial",these loans are predatory and will ruin students' financial futures,loans
"loans: might, afford, go",this might be the only way a non-minority could afford to go to college.,loans
"loans: grades, motivated, study, committed, feel",This would help more students to be motivated to study and to have good grades because they feel committed,loans
"loans: educational, students, help, would",this would help the students with educational opportunities.,loans
"loans: tomorrow, obligatory, finish, university, successful",to help young people so they can finish university and be successful tomorrow should be obligatory for any government in the world.,loans
"loans: focus, areas, afford, student, subsidizing","We cannot afford subsidizing student loans when there are other areas to focus on such as healthcare, infrastructure, and security.",loans
"loans: students, tremendous, could, fatal",we have a tremendous amount of highly intelligent /students who could not go to college without subsidizes. these students could find cures to fatal illnesses and should be subsidized to benefit all of society.,loans
"loans: adding, acquire, accessible, barriers, opposed, extreme","we need to make it more accessible for the public to acquire education, as opposed to adding more barriers such as extreme student debt.",loans
"loans: hamper, pay","we should help students pay to be educated. it is costly, and loans hamper their future.",loans
"loans: education, invest, generations, higher, especially, young","we should invest in the young generations and support them in their education, especially when higher education is so expensive.",loans
"loans: pursue, whether, higher, student, pay, choice",We should not subsidize student loans as it is their choice whether or not to pursue higher education and they should pay for it themselves.,loans
"loans: responsible, choices, student, subsidize, loans",We should not subsidize student loans as people should be responsible for their own choices in life.,loans
"loans: ioverqualified, glut, qualified, employment, unable",we should not subsidize student loans as this will lead to a glut of people who are ioverqualified and be unable to find employment for which they are qualified,loans
"loans: student, go, subsidize, want, loans, work","we should not subsidize student loans because if people want to go to college, they need to work for it.",loans
"loans: college, student, pay, go, subsidize, students",we should not subsidize student loans because if students want to go to college they should pay,loans
"loans: responsibility, student, pay, subsidize, loans",we should not subsidize student loans because it in not the public's responsibility to pay for a person's education.,loans
"loans: responsibility, study, student, continue, individuals, pay",we should not subsidize student loans because it is each individuals choice to continue to study so they take the responsibility to pay for it.,loans
"loans: eligibility, lying, abusing, program",we should not subsidize student loans is because of a potential abusing of the program by students lying about their eligibility,loans
"loans: repay, borrow, including","We should not subsidize student loans since higher education is a personal choice. If you want to borrow money for college, you should have to repay it, including interest.",loans
"loans: routes, technical, route, promoting, university, ought","we should not subsidize student loans, there is too much focus on the university route when we ought to be promoting vocational and technical career routes",loans
"loans: privileged, getting, chance",we should pay for student loans because then less privileged children could get an education and have more of a chance of getting out of a poor lifestyle.,loans
"loans: translates, subsided, professions","we should subsided student loans because it helps more kids get into college which translates into a better country because we will have doctors, nurses, and other professions that we can't live without.",loans
"loans: loands, start, years, college, debt, student",we should subsidize student loands so the students don't have to start their college years in debt,loans
"loans: astronomical, educated, puts, cost",We should subsidize student loans as the cost of further education is astronomical and puts many people off so we end up with a less educated population.,loans
"loans: students, poorer, avoid",we should subsidize student loans as this will ensure poorer students can have an education and avoid students going into working life with large debts.,loans
"loans: saddled, started, first, getting",We should subsidize student loans as young people shouldn't be saddled with debt when they are first getting started in the world.,loans
"loans: deters, college, possible, expensive, student, subsidize",we should subsidize student loans because college is expensive and it deters some possible students from going.,loans
"loans: student, normally, afford, go",we should subsidize student loans because it can help student go to school they wouldn't normally be able to afford,loans
"loans: option, student, gives, subsidize, students, loans",we should subsidize student loans because it gives students an option to further their education,loans
"loans: deserve, low, income, student, gives, subsidize",we should subsidize student loans because it gives students with low income to get the education they deserve,loans
"loans: college, afford, student, pay, go, subsidize",we should subsidize student loans because it helps people that cannot afford to pay for college to be able to go,loans
"loans: colleges, student, go, subsidize, loans, get",we should subsidize student loans because it would get more people into colleges that should go,loans
"loans: loans, stress, paying, back, cost",we should subsidize student loans because the cost of paying back these loans can create much stress for young people.,loans
"loans: loans, amounts, paid, student, never",we should subsidize student loans because there are many students that will never get the loans paid off as the amounts are huge.,loans
"loans: start, paid, spending, student, support, subsidize",we should subsidize student loans so more people can get them paid off and start spending their money to support the economy.,loans
"loans: turn, opportunity, economy, benefit",we should subsidize student loans so that more people have an opportunity to get a good education and better careers. this in turn will benefit the economy and all of society.,loans
"loans: wealthy, access, student, ensure, family, subsidize","we should subsidize student loans to ensure all have access to education, not just those with a wealthy family",loans
"loans: sufficient, sets, saves, obtain, seek, success",we should subsidize student loans to ensure all who seek a good education can obtain one. this sets up success for life which also saves the government money when people are self sufficient,loans
